# Few sample 'lat lon' open locations

# open position close to map center 
37.792779 -122.397475

# North
37.797616 -122.396795 

# NNW
37.797423 -122.401399 

# E 
37.795245 -122.392800 

# SSE
37.789705 -122.393040 

# ESE
37.790311 -122.392185 

# SE
37.789930 -122.392616 

# W
37.794405 -122.402312 
 
# WSW
37.793222 -122.402080 

# SSW
37.789817 -122.401340 

# S #1
37.789745 -122.398400 

# S #2
37.789804 -122.396495 

# ENE
37.797052 -122.393064 

# NNE
37.797750 -122.396055 

# NE
37.797046 -122.398475 

# near center circular bldg
37.793503 -122.398395 
 
